[INFO][12.03.2016 13:43:39] Logger started to work
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testFile.mtx...
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла завершено.
[INFO][12.03.2016 13:43:42] Выбранный формат матрицы - плотный.
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы...
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы завершен.
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы...
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы завершен.
[INFO][12.03.2016 13:43:42] Успешное завершение ввода матрицы.
[INFO][12.03.2016 13:43:53] Чтение информации о правой части из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testRP.rtx.
[INFO][12.03.2016 13:43:53] Ввод размерности правой части...
[INFO][12.03.2016 13:43:53] Ввод размерности правой части завершен.
[INFO][12.03.2016 13:43:53] Ввод элементов правой части...
[INFO][12.03.2016 13:43:53] Ввод элементов правой части завершен.
[INFO][12.03.2016 13:43:53] Успешное завершение ввода правой части.
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 0, residual is 1
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 84, residual is 0,835424248554731
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 85, residual is 0,844004567404914
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 86, residual is 0,852693980447002
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 87, residual is 0,861494081256921
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 88, residual is 0,870406193908766
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 89, residual is 0,879431386589151
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 90, residual is 0,888570484525896
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 91, residual is 0,897824082267373
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 92, residual is 0,907192555348908
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 93, residual is 0,916676071382331
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 94, residual is 0,926274600603956
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 95, residual is 0,935987925915285
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 96, residual is 0,945815652449416
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 97, residual is 0,955757216694733
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 98, residual is 0,965811895205883
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 99, residual is 0,975978812930428
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 100, residual is 0,986256951177892
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 101, residual is 0,996645155256242
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 102, residual is 1,00714214179914
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 103, residual is 1,01774650580569
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 104, residual is 1,02845672741276
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 105, residual is 1,03927117841834
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 106, residual is 1,05018812857303
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 107, residual is 1,0612057516551
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 108, residual is 1,07232213134337
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 109, residual is 1,08353526690068
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 110, residual is 1,09484307867964
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 111, residual is 1,10624341346094
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 112, residual is 1,11773404963379
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 113, residual is 1,12931270222653
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 114, residual is 1,140977027795
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 115, residual is 1,152724629175
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 116, residual is 1,16455306010454
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 117, residual is 1,17645982972084
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 118, residual is 1,18844240693629
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 119, residual is 1,20049822469688
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 120, residual is 1,21262468412641
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 121, residual is 1,22481915855874
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 122, residual is 1,23707899746043
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 123, residual is 1,24940153024534
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 124, residual is 1,26178406998259
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 125, residual is 1,27422391699901
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 126, residual is 1,28671836237682
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 127, residual is 1,29926469134721
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 128, residual is 1,31186018658012
